表現 (問題となった広告表現など),製品カテゴリ,判定,理由,代替表現（可能な場合）
NO1表示 (リサーチ会社調査),-,条件付きOK (景表法),調査方法の合理性 (比較対象選定、サンプルサイズ、2位との差、1位の割合等) が重要。JMRA基準より緩やかな運用も。,※調査方法、根拠を明記。イメージ調査の限界も考慮。
定期コースLPで「お試しモニター募集→1か月後自動移行」(最終確認画面で定期条件明記),-,NGの可能性高い,さらに「試行的契約」誤認のおそれ強いため。,※バナー広告ならLP到達まで時間あり必ずしもNGではない。
定期コースLPで「今ならお試し500円」(最終確認画面で定期条件明記),-,NGの可能性高い,ガイドライン違反例に近く「試行的契約」誤認のおそれ強いため。,-
定期コース途中CTAでの条件記載,-,不明確 (行政判断分かれる),特商法・ガイドラインで明確な規定なし。YDC推奨は期間、解約方法、価格、支払、引渡方法等の記載。,-
顧客の声→謝礼付き取材→動画LP掲載,-,条件付きOK (PR表記不要),元の声と取材での声が大きく異ならなければ自発的意思とみなされPR表記不要。,-
定期顧客からインフォマ出演者募集→取材→インフォマ作成,-,微妙 (PR表記要否),元々の声か作られた声かで判断。謝礼付きだと作られた声と見られやすくPR表記推奨。,-
「お客様の声」募集→掲載者に事後謝礼→LP掲載,-,OK (PR表記不要),声提供時点では謝礼不明で自発的意思のため。,-
新聞広告内の「お客様の声」(上記と同様の募集・謝礼),-,要PR表記,全体が広告でも「声」部分は自発的と誤認されるためPR表記必要 (chocoZAP事件)。,-
モニター募集→商品提供→声収集→LP掲載「※モニター様のお声です」,-,NG (PR表記不十分),「モニター」だけでは依頼関係不明瞭。より明確なPR表記が必要。,PR、プロモーション、広告 等
体験談の注記「個人の感想であり効果を保証するものではありません」,-,有効 (判例),広島高裁判決で使用者が効果認識を割り引くと判断。記載推奨。,-
体験談の注記「写真はイメージです」,-,有効,写真掲載許可ない場合等に使用。,-
体験談の注記「薬機法等との関係で内容を一部変更しています」,-,有効,内容編集した場合に必要。,-
体験談の注記「募集して集めたお声を掲載しています」,-,必要 (ステマ回避),SNS依頼投稿や採用報酬ありの場合に必要。,-
体験談の注記「当社の視点で選んだお声を掲載しています」,-,必要 (ステマ回避),ステマQ&A Q10に基づき必要。,-
体験談の恣意的抽出 (好意的意見のみ掲載),-,NG (ステマ規制),ステマ規制Q&AでNGとされている。事業者の表示とみなされる。,PR表記 (例: ※お客様の声の中から当社の視点で選んで掲載)、無作為抽出
LPコラムに他サイトのドクター見解をコピペ,-,条件付きOK,著作権法32条の「引用」要件 (引用部分明確化、出典明記、コメント付与) を満たせば許諾不要。,-
ウェブサイトのレビュー (自動アップロード媒体),-,条件付きOK,自社が削除・編集等に関与できなければ責任問われにくいが、媒体に確認推奨。関与可能なら対処必要。,-
ダニを防除する,-,医薬品または医薬部外品,厚労省通知による。,-
セルフホワイトニング (酸化チタン溶液+LED照明器具),-,NG,都行政指導例あり。LED照射を促す時点で光触媒作用目的と見なされる。,化粧品+ブラッシングでのホワイトニング訴求。
ジェル+LED照射でホワイトニング,-,NG (化粧品) / OK (医療機器),ジェルもLEDも医療機器扱い (歯面漂白剤、歯面漂白用加熱装置)。化粧品では不可。,-
入浴剤、浴用剤,-,医薬部外品,-,-
入浴料、浴用化粧品,-,化粧品,-,-
肌に直接スプレーする虫よけ (忌避剤),医薬部外品,条件付きOK,衛生害虫対象なら承認必要。非衛生害虫対象なら部外品にならない (生活害虫自主基準)。,※対象を非衛生害虫 (ユスリカ等) と明記。
爪の中の菌まで殺菌・消毒 (外皮消毒剤・部外品、承認効能は「洗浄・消毒」),医薬部外品,NG (表現方法),「殺菌」は作用機序として訴求可能だが、「殺菌・消毒」と並列ではロジック不明確。,殺菌することにより消毒 (作用機序として)
外皮消毒剤で足の指の爪をターゲット,医薬部外品,OK,爪は皮膚の一部と解釈可能。,-
手の指の爪に関する殺菌エビデンスを足の指の爪に外挿,医薬部外品,条件付きOK,外挿できるという報告書等で根拠を示せばOK。,-
承認効能でない効果を成分の効果・作用機序としてうたう (例: リゲインの「エネルギー産生促進」「糖化に着目」),医薬部外品 (ドリンク剤),OK (要エビデンス),作用機序は医学薬学上認められ、承認効能範囲を超えなければエビデンスあれば訴求可。,-
ナプキンで「肌ストレスから守る」,医薬部外品 (ナプキン),NG,「こすれない」等のネガティブがない趣旨はOKだが、「守る」は効果を示唆するためNG。,-
販売名にローマ字のみ、算用数字、記号,化粧品,NG (原則),ガイドラインで不可とされている。,※愛称なら運用緩い。
低刺激 (化粧品パッケージ),化粧品,条件付きOK,パッチテスト等の安全性データに基づき表示可。※「パッチテスト試験済み」等の注釈推奨。,-
化粧品広告でビフォーアフター写真,化粧品,条件付きOK,効能範囲内、効果発現・持続時間非強調ならOK。※「予防」効果のB/Aは厚労省連絡で不可。強烈すぎるものも保証禁止違反の可能性。,-
ワセリンより潤うことをグラフで示す (ベビーミルキーローション),化粧品,NG,保証禁止 (臨床データ例示原則不可)、他社誹謗禁止 (ワセリン比較) に抵触。,グラフをイメージ化、研究サイトで提示、自社成分との比較
ファンデでシワをカバー,化粧品,OK,機能的表現ではなく隠す表現のため。,-
商品名「ドクター△△。」,化粧品,NG (都庁),都庁は不可としている。,※ブランド名・社名ならOK。
受付電話番号4874に「シワなし」とルビ,化粧品,OK,番号覚えやすくするためなら不可ではない。,-
見た目年齢訴求「見た目29歳、実は53歳」(写真付き),化粧品,条件付きOK (薬機法・景表法),薬機法：「あくまで見た目の話」と注記要。景表法：「見た目年齢」の根拠 (アンケート等) と、念のため実年齢改善エビデンス推奨。,-
刺すヒアルロン酸、マイクロニードル,化粧品,OK,比喩表現と認識可能。,※浸透効果は「角質層まで」の注記が必要。
ヘナで皮膚を染色 (アートメイク),化粧品,OK (角質層までなら),針を使わない皮膚着色は非医療行為。角質層までの着色なら化粧品として可。,-
製法特許表示 (パッケージ),化粧品,条件付きOK,容器・パッケージ限定で可だが、特許タイトルが薬機法違反表現ならNG。,-
ジェル / ゲル (種類別名称),化粧品,ジェル推奨,規約上「ジェル」が記載。「ゲル」も類似表現でNGではないが認知度考慮すると「ジェル」推奨。,-
肌へのやさしさを考えた無添加、肌のことを考えて無添加,化粧品,NG / 微妙,前者は他社誹謗明確でNG。後者は中立に近く必ずしもNGではないがリスクあり。,無添加 (単独表示)
化粧品の量り売り (マイボトル持参),化粧品,OK,顧客の求めに応じた分割販売はOK。,※予め小分けして売るのはNG。
ビタミンCの配合目的「保湿」「整肌」,化粧品,OK,酸化防止剤以外の目的でも表示可能。,-
後日広告 (商品名伏せて効果記事→後日商品広告),化粧品,微妙,記事間に関連性 (リンク等) があれば一体と見なされ薬機法適用。,-
販売名「茶のかおり」,化粧品,NG,特定成分名称を販売名に用いるのは不可。,※愛称なら運用緩い。
販売名「スーパーソルト」,化粧品,NG,「スーパー」は誇大表現。,※愛称・シリーズ名なら規制緩い。
通販番組ナビゲーターの使用コメント「もちもちに潤っています」,化粧品,NG,体験談で効果標榜は不可。使用感のみOK。,-
水分チェッカーでBAを見せる (使用前後比較),化粧品,NG,実験データ例示は保証表現にあたりNG。,マイクロスコープでのB/A (期間示さず)
医療現場で広く用いられています (化粧品),化粧品,NG,医療機関での選用表現は不可。医薬品的効果暗示。,美容の先端シーンで広く用いられています
薬剤師の9割が売り続けたいと回答！,化粧品,NG,「推薦」に近い。,薬剤師の9割が使い続けたいと回答 (自分自身の話ならOK)
愛用歴〇年,化粧品,OK,プロフィールでありコメントではないため。,-
架空の体験談 (会話形式),化粧品,条件付きOK,体験談ではないが、虚偽なら景表法違反リスク。「この会話はイメージです」等の注記必要。,-
マンガの体験談,化粧品,NG (都庁・粧工連),都庁は原則NG、粧工連ガイドラインも不可としている。,-
満足度93%！ (化粧品広告),化粧品,条件付きOK,※「使用感」等の限定があればOK。なければ効能効果・安全性の保証と見なされNG。,使用感満足度93%！
化粧品の併用推奨,化粧品,OK (条件付き),平成28年通知で解禁。製販が同一であること推奨。※一般＋薬用の併用は薬用の用法承認外なら不可。,-
アトピー肌の人も大丈夫,化粧品,NG,「アトピー肌用」は不可。「敏感肌用」が限界。,敏感肌用
ノンコメドジェニック,化粧品,OK (薬機法) / 要エビデンス (景表法),ニキビ予防効果ではなく、できにくい製品設計の意味。薬機法違反ではないが、景表法上は根拠必要。,-
パッチテスト実施済み,化粧品,条件付きOK,※「全ての人に皮膚刺激が発生しないということではありません」の注意書きが必要。,-
